@relation vowel-weka.filters.unsupervised.attribute.Remove-R1-2-weka.filters.unsupervised.attribute.MathExpression-E(A-MIN)*1000/(MAX-MIN)

@attribute Sex {Male,Female}
@attribute 'Feature 0' numeric
@attribute 'Feature 1' numeric
@attribute 'Feature 2' numeric
@attribute 'Feature 3' numeric
@attribute 'Feature 4' numeric
@attribute 'Feature 5' numeric
@attribute 'Feature 6' numeric
@attribute 'Feature 7' numeric
@attribute 'Feature 8' numeric
@attribute 'Feature 9' numeric
@attribute Class {hid,hId,hEd,hAd,hYd,had,hOd,hod,hUd,hud,hed}

@data
Male,733.021077,366.099559,180.959673,480.718436,406.518444,725.893139,326.870748,608.643457,255.646817,490.247074,hEd
Male,684.309133,491.335854,222.3073,632.857898,316.068722,594.372431,336.054422,446.878752,528.062971,281.53446,hAd
Male,582.435597,526.307498,343.287392,615.953513,245.073269,634.20803,428.911565,439.67587,549.281314,335.175553,hYd
Male,514.285714,552.299937,405.308831,523.771791,201.111673,436.926968,730.272109,252.40096,563.997262,495.448635,had
Male,386.885246,535.601764,521.184278,650.290544,91.460334,374.644325,708.503401,484.393758,703.627652,507.802341,hOd
Male,266.276347,560.018904,673.557938,783.148442,129.863567,249.446728,598.29932,463.685474,817.24846,586.80104,hod
Male,373.067916,448.960302,343.797856,556.788167,350.176857,780.588049,391.156463,713.985594,632.443532,420.026008,hUd
Male,356.908665,481.726528,228.177642,795.562599,568.468924,714.51154,446.258503,520.408163,622.518823,314.044213,hud
Male,590.398126,460.932577,312.914752,550.184892,293.83527,722.415428,321.088435,689.67587,448.323066,370.286086,hed
Male,378.922717,246.376812,435.171006,823.032224,493.178373,789.75656,476.190476,536.014406,383.641342,245.123537,hid
Male,507.025761,261.657215,337.41705,620.44374,439.868621,889.661714,459.52381,631.452581,417.180014,481.794538,hId
Male,692.271663,342.785129,194.997448,492.07607,405.002527,723.680051,313.945578,616.446579,249.144422,507.802341,hEd
Male,681.967213,491.808444,202.143951,653.460116,319.858514,595.320898,316.326531,481.992797,465.434634,299.414824,hAd
Male,538.641686,504.410838,346.094946,609.614369,307.225872,615.554853,452.040816,373.94958,542.094456,370.936281,hYd
Male,496.955504,569.15564,386.421644,494.453249,242.041435,435.978501,726.190476,253.0012,524.640657,533.485046,had
Male,410.30445,529.300567,482.899438,619.651347,72.258717,453.999368,678.231293,508.103241,713.894593,477.56827,hOd
Male,234.894614,586.168872,647.269015,723.718965,9.853461,449.257034,505.782313,634.153661,759.411362,447.984395,hod
Male,390.632319,419.817265,323.379275,556.788167,343.102577,763.51565,393.877551,735.594238,613.963039,488.296489,hUd
Male,357.611241,480.151229,193.721286,797.675647,562.657908,704.710718,457.142857,554.321729,635.865845,247.39922,hud
Male,612.412178,446.439824,315.97754,545.430534,260.737746,672.779007,335.714286,689.97599,500.684463,366.384915,hed
Male,376.346604,237.712665,421.388464,843.898574,498.736736,783.433449,490.136054,534.513806,372.689938,220.091027,hid
Male,477.751756,277.882798,346.860643,612.783941,439.363315,901.043313,450.680272,600.240096,363.449692,485.370611,hId
Male,681.264637,334.593573,214.650332,492.340201,414.098029,735.693961,312.92517,633.853541,248.459959,520.156047,hEd
Male,665.807963,472.747322,237.621235,679.080824,330.469934,561.80841,328.231293,491.596639,456.536619,306.892068,hAd
Male,484.777518,495.746692,346.094946,620.707871,345.629106,651.28043,402.380952,392.857143,477.412731,361.508453,hYd
Male,502.576112,574.354127,379.019908,503.169572,210.207175,536.19981,634.013605,266.806723,574.948665,495.773732,had
Male,407.025761,543.793321,425.47218,558.637084,105.356241,510.591211,666.326531,493.397359,697.809719,459.362809,hOd
Male,227.868852,584.593573,643.950995,678.0243,0,439.456212,563.605442,635.054022,745.379877,450.910273,hod
Male,389.929742,398.865784,321.592649,589.540412,360.030318,812.51976,387.755102,788.115246,457.221081,550.390117,hUd
Male,314.285714,493.698803,214.650332,797.939778,548.509348,748.340183,355.102041,646.758703,515.742642,220.741222,hud
Male,596.018735,439.508507,328.994385,567.881669,268.064679,656.338919,327.55102,677.671068,507.52909,315.019506,hed
Male,259.71897,233.616887,740.42879,483.888008,786.255685,717.673095,748.29932,398.859544,283.709788,328.9987,hid
Male,899.063232,195.967234,378.764676,269.67776,418.393128,625.039519,745.238095,635.054022,742.984257,560.143043,hId
Male,795.081967,272.84184,393.057682,282.091918,558.868115,501.4227,571.768707,526.710684,469.883641,459.687906,hEd
Male,762.763466,451.953371,228.177642,469.889065,503.031834,271.261461,534.353741,484.393758,486.995209,386.540962,hAd
Male,598.82904,577.189666,632.720776,390.649762,268.822638,360.417325,487.07483,472.388956,719.028063,421.976593,hYd
Male,676.814988,405.954631,716.436958,349.709456,467.155129,264.622194,490.816327,303.121248,843.600274,553.315995,had
Male,484.777518,722.747322,380.551302,268.092974,489.38858,165.665507,569.387755,577.430972,739.219713,465.864759,hOd
Male,297.423888,728.890989,758.805513,238.510301,254.421425,296.237749,623.809524,601.440576,525.32512,756.827048,hod
Male,245.901639,663.358538,674.834099,460.908611,292.824659,466.961745,552.721088,459.183673,745.379877,813.719116,hUd
Male,161.826698,552.142407,612.302195,507.659799,403.991915,658.235852,590.136054,460.684274,607.118412,796.163849,hud
Male,497.189696,419.502205,647.013783,315.108294,454.269833,552.007588,538.095238,365.546218,586.584531,502.60078,hed
Male,219.203747,226.21298,820.57172,547.01532,774.886306,665.50743,764.62585,409.963986,268.99384,333.224967,hid
Male,832.318501,209.514808,368.300153,287.638669,457.55432,681.947518,739.795918,628.151261,654.004107,494.473342,hId
Male,820.140515,277.252678,391.526289,280.771263,542.44568,512.8043,572.108844,557.322929,473.648186,441.482445,hEd
Male,763.23185,432.1046,283.818275,399.894348,498.484083,318.052482,506.802721,488.895558,518.480493,412.873862,hAd
Male,595.081967,625.393825,575.803982,364.764923,281.202628,417.957635,476.190476,522.509004,649.555099,389.46684,hYd
Male,648.711944,423.597984,733.282287,283.676704,490.146539,239.32975,522.789116,335.534214,823.066393,537.711313,had
Male,483.606557,685.255198,460.438999,363.708399,362.304194,245.336706,431.972789,530.912365,888.090349,431.729519,hOd
Male,306.557377,765.595463,720.010209,195.456947,262.758969,344.925703,679.591837,631.752701,488.706366,720.091027,hod
Male,221.077283,674.858223,678.662583,379.55626,328.448711,432.50079,556.462585,485.894358,668.377823,772.43173,hUd
Male,131.381733,587.429112,638.080653,552.033809,335.270339,717.673095,565.646259,398.859544,682.75154,636.540962,hud
Male,510.772834,387.3661,714.905564,340.20074,388.074785,569.396143,642.857143,346.938776,476.386037,570.546164,hed
Male,172.833724,259.451796,853.751914,614.896989,733.956544,666.455896,744.897959,323.229292,247.091034,342.327698,hid
Male,785.714286,210.617517,376.722818,309.297412,498.989389,726.209295,717.346939,620.648259,604.722793,445.383615,hId
Male,757.611241,261.972275,393.057682,306.127839,520.970187,564.337654,565.986395,531.512605,441.478439,434.005202,hEd
Male,772.131148,432.73472,292.240939,368.726889,483.577564,344.293392,524.489796,456.782713,548.939083,401.495449,hAd
Male,588.056206,646.502836,535.477284,380.612784,295.351187,403.41448,465.646259,543.817527,609.856263,375.487646,hYd
Male,622.248244,376.654064,741.960184,366.349709,374.431531,270.62915,572.108844,289.915966,777.891855,569.895969,had
Male,505.152225,689.666037,503.828484,349.709456,296.867105,358.836548,431.292517,525.810324,857.289528,446.03381,hOd
Male,321.077283,790.642722,665.645738,198.89065,268.064679,368.321214,772.44898,650.660264,451.060917,682.054616,hod
Male,207.962529,650.126024,733.027055,427.363973,260.485093,400.56908,563.265306,468.487395,596.851472,758.777633,hUd
Male,125.29274,600.346566,653.905054,564.976228,301.667509,736.326273,539.455782,410.864346,638.945927,635.890767,hud
Male,536.065574,439.508507,634.252169,278.922345,420.161698,638.634208,653.061224,335.534214,433.607118,535.435631,hed
Male,171.896956,239.445495,912.200102,664.81775,709.70187,598.482453,667.006803,308.823529,143.052704,377.113134,hid
Male,776.580796,198.802773,387.18734,332.012678,496.715513,741.384761,688.435374,630.852341,567.077344,460.338101,hId
Male,764.871194,256.143667,366.003063,311.938722,507.07428,557.382232,552.721088,540.816327,456.536619,466.189857,hEd
Male,772.599532,445.494644,263.399694,367.670365,507.579586,349.668037,510.204082,436.97479,542.778919,392.06762,hAd
Male,582.435597,672.967864,491.832568,351.822504,298.888327,437.559279,495.578231,508.103241,601.300479,341.352406,hYd
Male,661.826698,396.187776,704.185809,361.595351,362.556847,314.890926,502.040816,331.332533,806.639288,574.772432,had
Male,496.252927,675.488343,556.40633,367.934496,295.856493,325.956371,445.578231,498.19928,879.876797,516.254876,hOd
Male,303.044496,751.417769,739.152629,231.907026,246.841839,269.680683,728.571429,681.272509,439.767283,691.482445,hod
Male,229.274005,678.796471,744.002042,503.433703,190.2476,437.875435,568.027211,457.683073,596.167009,704.486346,hUd
Male,105.854801,625.393825,661.306789,556.259905,338.554826,616.50332,592.517007,368.247299,678.302533,645.643693,hud
Male,530.679157,472.274732,555.130168,309.033281,424.456796,694.277585,527.55102,357.442977,559.206023,362.808843,hed
Male,210.070258,183.994959,901.225115,687.004754,710.965134,505.532722,576.530612,330.132053,92.744695,400.845254,hid
Male,740.28103,210.932577,395.354773,362.387744,558.110157,757.82485,656.462585,638.655462,542.094456,418.075423,hId
Male,797.892272,268.588532,379.530373,259.376651,513.643254,532.405944,551.360544,578.931573,457.905544,476.592978,hEd
Male,757.142857,443.604285,255.232261,346.804015,531.076301,365.475814,501.360544,417.166867,527.036277,422.301691,hAd
Male,576.814988,707.466919,385.655947,315.900687,337.291561,508.061966,511.904762,454.981993,566.735113,277.958388,hYd
Male,669.789227,441.713926,656.712608,352.350766,429.762506,303.825482,455.782313,397.959184,842.231348,533.810143,had
Male,493.208431,660.05041,581.929556,380.348653,310.763012,270.945305,444.897959,464.885954,919.233402,525.03251,hOd
Male,287.119438,770.006301,783.818275,261.225568,258.211218,209.294973,641.156463,653.661465,495.550992,757.477243,hod
Male,246.135831,725.110271,704.951506,476.228209,212.228398,483.401834,687.07483,424.369748,649.897331,595.903771,hUd
Male,77.517564,683.364839,650.07657,486.79345,392.117231,547.897566,607.823129,413.565426,583.84668,690.83225,hud
Male,498.594848,457.939509,604.645227,333.333333,415.108641,636.104964,493.537415,366.446579,581.451061,362.808843,hed
Male,246.604215,146.817895,864.471669,660.063391,678.878221,566.234587,657.142857,289.615846,31.827515,384.26528,hid
Male,648.711944,230.781348,427.003573,439.513999,641.232946,781.536516,657.142857,616.446579,550.308008,362.808843,hId
Male,828.805621,252.362949,422.15416,219.756999,445.679636,529.876699,584.013605,592.737095,509.582478,510.728218,hEd
Male,740.046838,438.248267,215.926493,356.840993,511.622031,373.695858,515.646259,420.768307,501.711157,449.284785,hAd
Male,567.447307,703.84373,343.287392,289.487586,390.853967,377.173569,618.367347,412.665066,589.322382,267.230169,hYd
Male,637.470726,479.993699,588.820827,332.012678,448.206165,306.354727,459.52381,450.180072,821.697467,453.511053,had
Male,502.576112,695.179584,517.100562,313.787639,345.629106,250.079039,545.918367,470.288115,893.908282,438.556567,hOd
Male,292.271663,821.045999,753.700868,223.190703,274.128348,244.072083,604.761905,654.561825,541.067762,805.591678,hod
Male,251.75644,764.965343,530.883104,362.123613,363.820111,590.262409,689.795918,435.17407,656.399726,555.26658,hUd
Male,62.529274,724.480151,638.591118,393.026941,387.56948,595.320898,637.414966,476.890756,396.988364,666.775033,hud
Male,504.215457,465.028355,545.17611,304.807184,546.993431,483.085678,463.945578,455.882353,621.149897,353.381014,hed
Male,938.875878,160.838059,0,585.842578,444.669025,950.047423,631.632653,698.379352,78.028747,316.644993,hid
Male,968.149883,281.190926,122.766718,452.720549,389.843355,884.603225,553.061224,810.02401,323.066393,537.386216,hId
Male,806.323185,324.511657,260.081674,656.629688,449.722082,803.035093,464.62585,710.984394,315.537303,526.657997,hEd
Male,813.583138,482.514178,367.789689,655.044902,341.58666,593.423965,514.285714,665.666267,397.330595,548.439532,hAd
Male,650.819672,535.601764,579.122001,747.754886,242.041435,393.929813,389.115646,786.014406,529.089665,619.310793,hYd
Male,722.716628,508.191556,528.841246,757.263603,288.52956,428.706924,405.782313,762.905162,425.393566,593.302991,had
Male,609.836066,579.710145,612.302195,791.072372,164.224356,316.155549,343.537415,853.541417,563.312799,715.864759,hOd
Male,327.400468,784.341525,594.691169,784.469097,157.655382,148.593108,325.170068,811.82473,651.266256,513.979194,hod
Male,506.088993,452.741021,459.673303,779.714739,247.094492,250.71135,623.809524,606.242497,756.673511,695.058518,hUd
Male,290.163934,559.703844,476.518632,624.141574,262.001011,491.621878,766.666667,478.091236,1000,601.755527,hud
Male,522.716628,483.459357,412.710567,749.075541,302.425467,682.579829,450.680272,774.009604,505.817933,384.915475,hed
Male,916.393443,154.221802,13.782542,624.405705,467.155129,976.288334,619.727891,662.665066,15.058179,363.459038,hid
Male,983.372365,281.978576,113.833589,456.682515,377.210712,886.816314,536.734694,812.42497,316.906229,561.443433,hId
Male,868.852459,334.120983,221.541603,615.16112,414.098029,775.213405,468.027211,726.290516,342.231348,529.583875,hEd
Male,828.337237,470.226843,369.321082,672.213418,317.837292,591.843187,469.387755,671.968788,428.473648,552.6658,hAd
Male,679.859485,519.376181,582.950485,766.508188,228.398181,384.128991,359.183673,809.123649,536.618754,676.853056,hYd
Male,715.690867,520.006301,534.456355,729.793978,273.370389,468.542523,439.115646,771.908764,416.495551,603.706112,had
Male,599.297424,540.327662,621.235324,819.598521,219.555331,283.907683,315.306122,807.322929,597.535934,741.872562,hOd
Male,322.482436,791.272842,588.05513,773.111463,136.937847,175.466329,409.183673,745.498199,697.467488,512.353706,hod
Male,440.515222,441.556396,493.874426,906.497623,323.90096,269.364527,539.455782,541.716687,687.542779,671.651495,hUd
Male,243.793911,552.299937,535.477284,692.023244,281.960586,444.514701,707.482993,453.481393,964.750171,560.46814,hud
Male,548.946136,419.817265,426.237876,793.449551,314.300152,625.671831,377.55102,735.894358,610.198494,397.919376,hed
Male,894.145199,152.646503,50.280755,662.704702,473.218797,1000,646.258503,626.65066,31.485284,300.390117,hid
Male,1000,285.601764,119.193466,455.097728,365.841334,864.053114,532.312925,839.435774,335.728953,582.249675,hId
Male,908.430913,334.278513,209.800919,628.36767,420.414351,745.494783,468.707483,718.487395,366.872005,529.908973,hEd
Male,852.693208,461.405167,369.321082,678.552562,304.194037,568.131521,444.217687,674.669868,458.590007,567.295189,hAd
Male,698.82904,514.650284,594.946401,782.62018,236.735725,369.269681,336.394558,796.818727,547.570157,666.124837,hYd
Male,741.920375,507.876497,523.7366,726.360275,272.359778,440.720835,442.176871,759.303721,455.167693,645.643693,had
Male,592.974239,473.377442,611.79173,901.215003,282.465892,276.319949,243.197279,757.803121,595.824778,780.23407,hOd
Male,322.014052,783.396345,577.335375,773.639725,100.555836,206.133418,544.557823,679.171669,723.134839,503.90117,hod
Male,405.854801,468.966604,492.598264,950.871632,273.875695,371.48277,521.428571,564.22569,706.023272,548.114434,hUd
Male,205.620609,584.751103,578.866769,734.548336,345.1238,361.049636,724.829932,381.452581,929.500342,607.93238,hud
Male,587.119438,403.119093,403.011741,786.846276,325.164224,594.372431,387.07483,673.469388,670.08898,320.221066,hed
Male,888.52459,150.441084,59.469117,655.309033,481.556342,981.346823,669.047619,665.066026,43.463381,319.245774,hid
Male,995.316159,281.663516,136.804492,468.304279,365.588681,863.420803,538.77551,849.939976,336.413415,576.723017,hId
Male,934.660422,331.600504,207.503828,620.44374,430.015159,726.841606,501.360544,728.691477,407.597536,565.669701,hEd
Male,868.852459,454.47385,378.764676,677.496038,314.300152,549.162188,465.306122,646.758703,500.342231,599.479844,hAd
Male,710.772834,508.191556,598.009188,810.353936,252.400202,352.829592,298.979592,792.016807,554.757016,710.338101,hYd
Male,777.517564,480.466289,502.552323,758.055996,272.107125,443.566235,418.367347,733.793517,470.225873,651.820546,had
Male,605.854801,461.090107,594.946401,906.497623,271.601819,291.495416,267.006803,790.516206,619.096509,776.983095,hOd
Male,339.11007,712.980466,567.891782,773.639725,111.925215,193.17104,602.721088,684.87395,762.833676,561.118336,hod
Male,389.227166,500.78765,504.849413,890.649762,234.209197,532.089788,469.387755,640.756303,765.913758,355.656697,hUd
Male,196.252927,588.689351,591.117917,768.621236,375.947448,356.623459,698.979592,353.841537,937.713895,654.096229,hud
Male,620.374707,415.091367,394.844308,724.247227,272.865083,646.221941,415.306122,704.681873,673.169062,295.838752,hed
Male,896.252927,150.126024,56.40633,619.651347,464.375947,988.302245,680.272109,716.986795,60.574949,318.270481,hid
Male,957.377049,266.068053,136.038795,520.86635,419.909045,891.242491,531.972789,872.44898,357.631759,548.439532,hId
Male,920.608899,326.402016,214.3951,627.839408,431.783729,773.000316,512.244898,755.402161,424.024641,560.46814,hEd
Male,874.941452,445.967234,377.233282,689.646064,323.648307,543.471388,475.85034,634.753902,495.550992,610.53316,hAd
Male,703.981265,484.877127,583.971414,840.464871,262.253663,362.94657,311.564626,762.304922,598.90486,678.153446,hYd
Male,793.208431,465.658475,464.012251,763.866878,275.644265,489.092634,438.095238,746.098439,458.247775,618.985696,had
Male,617.564403,486.452426,592.138846,854.463814,245.325922,302.244704,315.646259,851.140456,589.664613,789.986996,hOd
Male,355.503513,683.837429,565.084227,799.788695,56.088934,278.533038,524.829932,792.316927,670.431211,663.19896,hod
Male,390.163934,504.095778,504.083716,829.635499,257.200606,582.35852,529.931973,634.153661,802.190281,338.426528,hUd
Male,193.208431,558.443604,594.691169,777.865821,382.26377,337.021815,716.666667,352.941176,919.575633,675.227568,hud
Male,627.868852,435.727788,395.865237,691.759113,245.831228,680.36674,431.972789,732.893157,629.36345,295.838752,hed
Male,935.831382,155.324512,16.334865,592.445853,441.637191,980.714512,693.877551,789.315726,86.584531,324.447334,hid
Male,892.505855,250.47259,151.352731,591.389329,476.250632,908.631046,523.809524,888.355342,375.770021,517.880364,hId
Male,870.491803,305.135476,231.495661,686.740623,473.724103,826.114448,498.29932,744.897959,412.046543,575.422627,hEd
Male,866.276347,435.727788,366.003063,705.493925,332.996463,561.80841,481.292517,630.252101,481.519507,593.302991,hAd
Male,687.822014,461.090107,577.080143,862.651875,292.0667,367.688903,317.006803,724.489796,593.429158,640.76723,hYd
Male,797.892272,445.809704,429.811128,738.774432,287.518949,501.738856,512.92517,677.070828,473.990418,642.717815,had
Male,647.306792,502.205419,581.674324,805.599577,244.567964,297.186216,339.455782,862.244898,571.868583,801.690507,hOd
Male,359.71897,694.076875,573.251659,791.336503,95.250126,194.119507,536.054422,703.781513,738.53525,621.911573,hod
Male,418.266979,472.274732,471.924451,787.638669,274.381001,644.957319,480.612245,765.606242,739.561944,381.339402,hUd
Male,195.550351,549.779458,566.105156,720.813524,370.641738,314.574771,767.346939,390.456182,914.099932,699.609883,hud
Male,630.210773,440.138626,389.994895,714.474379,258.716523,627.568764,431.632653,762.905162,583.504449,324.447334,hed
Male,857.845433,137.681159,211.332312,436.608558,511.874684,758.141005,710.204082,762.605042,596.167009,397.919376,hid
Male,842.388759,245.904222,329.760082,305.599577,472.460839,659.81663,618.367347,657.563025,616.358658,408.647594,hId
Male,777.517564,356.332703,364.216437,403.592182,686.457807,347.454948,649.319728,505.102041,423.340178,333.224967,hEd
Male,744.964871,478.575929,536.242981,306.39197,582.870136,301.296238,555.442177,351.740696,574.948665,366.710013,hAd
Male,623.185012,614.839319,656.202144,330.163761,314.552804,293.708505,458.163265,676.470588,562.970568,354.681404,hYd
Male,643.325527,510.712035,641.398673,392.76281,400.454775,287.701549,540.136054,566.926771,640.999316,404.096229,had
Male,472.599532,519.848771,846.605411,586.899102,232.945932,275.687638,199.659864,623.94958,909.650924,614.43433,hOd
Male,385.245902,437.618147,874.68096,855.256207,228.145528,320.581726,28.231293,664.165666,814.510609,890.442133,hod
Male,447.775176,473.219912,682.491067,404.120444,221.323901,515.965855,398.29932,715.486194,720.73922,687.906372,hUd
Male,377.04918,317.58034,574.017356,459.852087,395.654371,667.404363,518.027211,641.356543,742.984257,760.403121,hud
Male,649.180328,324.984247,655.691679,436.080296,362.304194,452.41859,402.721088,598.739496,693.360712,578.023407,hed
Male,867.447307,128.701953,193.721286,439.77813,516.927741,760.986405,711.904762,775.510204,593.429158,397.919376,hid
Male,886.651054,241.020794,346.350179,297.147385,437.847398,660.448941,626.870748,656.062425,645.106092,423.276983,hId
Male,795.550351,346.093258,397.141399,403.856313,644.770086,439.456212,603.401361,515.906363,489.048597,309.817945,hEd
Male,750.351288,486.452426,486.47269,365.029054,569.479535,289.914638,553.061224,383.253301,591.37577,312.418726,hAd
Male,621.077283,563.011972,738.897397,371.896461,265.285498,303.825482,436.394558,680.672269,575.975359,393.36801,hYd
Male,651.053864,495.746692,687.850944,404.648706,377.210712,320.581726,536.394558,571.728691,704.654346,363.459038,had
Male,461.592506,476.21298,879.530373,655.044902,237.241031,269.996838,174.489796,587.334934,896.646133,690.182055,hOd
Male,385.480094,415.406427,879.27514,894.083465,217.028802,293.076193,59.183673,604.141657,804.5859,918.40052,hod
Male,471.428571,416.981727,734.81368,483.888008,233.451238,471.704078,377.210884,686.37455,749.144422,827.373212,hUd
Male,337.002342,343.100189,584.992343,455.890122,417.887822,678.469807,508.163265,657.563025,735.455168,709.687906,hud
Male,650.351288,337.744171,667.177131,431.325938,332.491157,474.865634,443.537415,599.639856,691.649555,590.377113,hed
Male,832.552693,122.558286,196.018377,468.040148,536.887317,781.852672,704.761905,783.913565,547.912389,386.86606,hid
Male,895.316159,234.562067,352.730985,294.241944,438.858009,669.617452,643.877551,632.953181,651.950719,423.927178,hId
Male,807.259953,340.57971,379.27514,424.1944,613.188479,472.968701,576.870748,555.222089,449.007529,334.850455,hEd
Male,745.901639,476.37051,500.510465,337.559429,604.598282,246.917483,551.360544,406.962785,568.104038,321.521456,hAd
Male,627.63466,484.562067,823.379275,434.49551,242.041435,242.491306,404.081633,659.063625,594.113621,507.477243,hYd
Male,664.168618,459.357278,713.37417,439.513999,330.217281,335.441037,491.496599,650.360144,677.61807,375.487646,had
Male,475.87822,412.728418,886.932108,720.813524,322.13239,261.776794,103.061224,492.196879,901.09514,796.814044,hOd
Male,384.309133,415.879017,882.337928,889.064976,218.54472,264.93835,89.115646,563.62545,810.061602,868.985696,hod
Male,478.220141,364.68179,764.675855,555.203381,237.998989,477.078723,403.061224,651.260504,700.54757,874.187256,hUd
Male,268.149883,366.099559,622.256253,493.132594,447.195553,685.109074,478.911565,642.557023,726.214921,649.219766,hud
Male,638.875878,328.292376,681.980602,447.173798,305.709955,495.099589,485.034014,572.028812,679.671458,605.981795,hed
Male,793.442623,109.640832,220.265442,509.508716,550.530571,805.248182,704.761905,783.613445,512.66256,381.989597,hid
Male,880.796253,232.041588,347.115875,297.939778,443.40576,671.19823,648.29932,644.657863,655.715264,421.0013,hId
Male,801.17096,325.614367,369.06585,428.684628,591.712986,483.717989,563.945578,563.02521,414.099932,387.841352,hEd
Male,731.147541,467.706364,500,310.882198,634.663972,220.992728,534.013605,409.363745,563.312799,304.291287,hAd
Male,640.749415,436.672968,855.283308,477.020602,241.788782,190.32564,390.816327,635.654262,606.776181,564.694408,hYd
Male,678.454333,436.042848,709.800919,436.872689,343.102577,280.113816,499.659864,633.853541,763.518138,360.208062,had
Male,503.278689,359.483302,873.404798,753.301638,391.10662,285.804616,69.387755,419.867947,879.876797,864.43433,hOd
