@relation 'dec'
@attribute attr0 {0,1}
@attribute attr1 {0,1}
@attribute attr2 {0,1}
@attribute attr3 {0,1}
@attribute attr4 {0,1}
@attribute attr5 {0,1}
@attribute attr6 {0,1}
@attribute attr7 {0,1}
@attribute attr8 {0,1}
@attribute class {0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91, 92, 93, 94, 95, 96, 97, 98, 99, 100, 101, 102, 103, 104, 105, 106, 107, 108, 109, 110, 111, 112, 113, 114, 115, 116, 117, 118, 119, 120, 121, 122, 123, 124, 125, 126, 127, 128, 129, 130, 131, 132, 133, 134, 135, 136, 137, 138, 139, 140, 141, 142, 143, 144, 145, 146, 147, 148, 149, 150, 151, 152, 153, 154, 155, 156, 157, 158, 159, 160, 161, 162, 163, 164, 165, 166, 167, 168, 169, 170, 171, 172, 173, 174, 175, 176, 177, 178, 179, 180, 181, 182, 183, 184, 185, 186, 187, 188, 189, 190, 191, 192, 193, 194, 195, 196, 197, 198, 199, 200, 201, 202, 203, 204, 205, 206, 207, 208, 209, 210, 211, 212, 213, 214, 215, 216, 217, 218, 219, 220, 221, 222, 223, 224, 225, 226, 227, 228, 229, 230, 231, 232, 233, 234, 235, 236, 237, 238, 239, 240, 241, 242, 243, 244, 245, 246, 247, 248, 249, 250, 251, 252, 253, 254, 255, 256, 257, 258, 259, 260, 261, 262, 263, 264, 265, 266, 267, 268, 269, 270, 271, 272, 273, 274, 275, 276, 277, 278, 279, 280, 281, 282, 283, 284, 285, 286, 287, 288, 289, 290, 291, 292, 293, 294, 295, 296, 297, 298, 299, 300, 301, 302, 303, 304, 305, 306, 307, 308, 309, 310, 311, 312, 313, 314, 315, 316, 317, 318, 319, 320, 321, 322, 323, 324, 325, 326, 327, 328, 329, 330, 331, 332, 333, 334, 335, 336, 337, 338, 339, 340, 341, 342, 343, 344, 345, 346, 347, 348, 349, 350, 351, 352, 353, 354, 355, 356, 357, 358, 359, 360, 361, 362, 363, 364, 365, 366, 367, 368, 369, 370, 371, 372, 373, 374, 375, 376, 377, 378, 379, 380, 381, 382, 383, 384, 385, 386, 387, 388, 389, 390, 391, 392, 393, 394, 395, 396, 397, 398, 399, 400, 401, 402, 403, 404, 405, 406, 407, 408, 409, 410, 411, 412, 413, 414, 415, 416, 417, 418, 419, 420, 421, 422, 423, 424, 425, 426, 427, 428, 429, 430, 431, 432, 433, 434, 435, 436, 437, 438, 439, 440, 441, 442, 443, 444, 445, 446, 447, 448, 449, 450, 451, 452, 453, 454, 455, 456, 457, 458, 459, 460, 461, 462, 463, 464, 465, 466, 467, 468, 469, 470, 471, 472, 473, 474, 475, 476, 477, 478, 479, 480, 481, 482, 483, 484, 485, 486, 487, 488, 489, 490, 491, 492, 493, 494, 495, 496, 497, 498, 499, 500, 501, 502, 503, 504, 505, 506, 507, 508, 509, 510, 511}
@data
1,	1,	0,	0,	0,	1,	0,	1,	0,	394
1,	0,	1,	1,	0,	0,	0,	0,	0,	352
0,	1,	1,	1,	1,	0,	0,	0,	1,	241
0,	0,	0,	0,	1,	1,	1,	1,	0,	30
0,	1,	0,	0,	0,	1,	1,	0,	1,	141
1,	0,	0,	1,	1,	1,	0,	1,	0,	314
0,	1,	1,	0,	1,	1,	0,	0,	1,	217
1,	1,	0,	0,	0,	0,	0,	1,	1,	387
0,	1,	1,	1,	1,	1,	0,	1,	1,	251
0,	0,	0,	0,	1,	1,	0,	0,	0,	24
0,	0,	1,	0,	1,	1,	1,	1,	1,	95
1,	1,	1,	1,	1,	0,	0,	0,	1,	497
0,	0,	1,	0,	0,	1,	0,	0,	1,	73
0,	0,	0,	1,	1,	1,	1,	1,	0,	62
1,	0,	0,	0,	1,	1,	0,	1,	0,	282
0,	1,	0,	0,	0,	1,	1,	0,	0,	140
0,	0,	1,	0,	1,	1,	1,	0,	0,	92
0,	0,	0,	1,	1,	0,	1,	0,	0,	52
0,	0,	1,	1,	1,	0,	0,	0,	0,	112
1,	1,	1,	0,	0,	1,	0,	1,	0,	458
0,	0,	1,	1,	0,	1,	0,	0,	1,	105
0,	0,	1,	1,	1,	0,	1,	0,	0,	116
0,	0,	0,	1,	1,	0,	1,	0,	1,	53
0,	1,	1,	1,	0,	0,	1,	0,	1,	229
0,	1,	1,	0,	1,	0,	0,	0,	1,	209
1,	1,	1,	0,	1,	0,	0,	0,	0,	464
1,	1,	1,	0,	0,	0,	0,	1,	0,	450
0,	1,	0,	1,	1,	0,	0,	0,	0,	176
0,	0,	1,	0,	1,	0,	1,	1,	0,	86
0,	0,	0,	1,	0,	1,	1,	0,	0,	44
1,	0,	0,	0,	1,	0,	0,	1,	1,	275
1,	0,	1,	0,	0,	1,	1,	1,	1,	335
1,	1,	0,	0,	0,	0,	1,	1,	1,	391
1,	1,	0,	0,	1,	1,	1,	1,	1,	415
0,	0,	0,	1,	1,	0,	1,	1,	1,	55
0,	0,	0,	1,	0,	0,	1,	1,	0,	38
0,	0,	1,	1,	1,	1,	1,	1,	0,	126
1,	0,	0,	1,	1,	1,	1,	1,	0,	318
0,	1,	0,	1,	0,	1,	1,	1,	0,	174
0,	0,	0,	1,	1,	1,	1,	0,	1,	61
0,	1,	0,	1,	1,	0,	1,	0,	0,	180
0,	1,	1,	0,	1,	0,	1,	0,	1,	213
1,	1,	0,	1,	1,	1,	1,	0,	0,	444
0,	1,	1,	0,	1,	0,	0,	0,	0,	208
0,	1,	1,	0,	0,	0,	0,	1,	1,	195
1,	1,	1,	1,	0,	0,	0,	0,	1,	481
0,	0,	1,	0,	1,	0,	1,	0,	0,	84
0,	0,	0,	1,	0,	1,	1,	1,	0,	46
1,	1,	1,	1,	0,	0,	1,	1,	0,	486
1,	1,	1,	0,	1,	1,	1,	0,	0,	476
1,	1,	0,	1,	0,	0,	1,	1,	1,	423
0,	1,	0,	0,	1,	1,	1,	1,	1,	159
0,	0,	1,	1,	1,	1,	1,	0,	1,	125
0,	1,	1,	1,	1,	0,	0,	1,	0,	242
0,	1,	1,	0,	0,	1,	0,	1,	1,	203
1,	0,	0,	1,	0,	0,	0,	1,	1,	291
0,	1,	0,	1,	0,	1,	0,	1,	1,	171
0,	1,	1,	0,	0,	0,	0,	0,	1,	193
1,	0,	0,	1,	1,	1,	1,	1,	1,	319
0,	0,	1,	1,	1,	1,	1,	0,	0,	124
1,	1,	1,	1,	0,	0,	1,	0,	1,	485
1,	0,	0,	0,	0,	0,	0,	1,	1,	259
0,	0,	0,	1,	1,	1,	1,	1,	1,	63
1,	0,	1,	0,	0,	0,	0,	0,	1,	321
1,	0,	1,	0,	0,	0,	0,	0,	0,	320
0,	0,	1,	1,	1,	1,	0,	1,	1,	123
1,	1,	0,	0,	0,	0,	0,	0,	1,	385
1,	1,	1,	0,	0,	0,	0,	1,	1,	451
0,	0,	0,	0,	1,	1,	0,	1,	0,	26
0,	0,	0,	0,	0,	1,	0,	1,	1,	11
0,	1,	0,	0,	0,	0,	0,	0,	1,	129
1,	1,	1,	1,	0,	1,	0,	0,	1,	489
1,	0,	0,	0,	0,	0,	1,	1,	0,	262
0,	0,	0,	0,	0,	0,	1,	1,	1,	7
1,	0,	0,	1,	0,	1,	1,	1,	1,	303
1,	0,	1,	1,	0,	1,	0,	0,	0,	360
1,	1,	1,	1,	1,	0,	1,	1,	0,	502
1,	1,	0,	1,	1,	0,	0,	0,	0,	432
0,	1,	1,	0,	1,	1,	1,	1,	1,	223
1,	0,	1,	0,	0,	1,	0,	0,	0,	328
1,	1,	1,	1,	1,	1,	0,	1,	0,	506
1,	0,	1,	0,	0,	1,	0,	1,	0,	330
0,	0,	0,	0,	1,	1,	0,	1,	1,	27
1,	1,	1,	1,	1,	1,	0,	0,	1,	505
1,	1,	1,	1,	1,	0,	0,	1,	0,	498
0,	1,	0,	0,	0,	0,	0,	1,	0,	130
1,	0,	0,	0,	1,	1,	1,	1,	0,	286
1,	1,	1,	1,	1,	1,	0,	0,	0,	504
0,	0,	1,	1,	0,	1,	1,	0,	1,	109
1,	1,	1,	1,	1,	0,	0,	0,	0,	496
0,	0,	0,	0,	1,	1,	1,	0,	0,	28
1,	0,	0,	1,	0,	1,	0,	0,	1,	297
0,	1,	1,	1,	1,	1,	1,	1,	0,	254
1,	1,	1,	0,	0,	0,	0,	0,	1,	449
1,	0,	1,	0,	1,	1,	0,	0,	0,	344
0,	1,	0,	1,	0,	0,	1,	1,	1,	167
1,	0,	1,	1,	1,	1,	1,	0,	0,	380
0,	1,	0,	0,	1,	0,	1,	0,	0,	148
0,	1,	1,	1,	1,	1,	0,	1,	0,	250
1,	0,	0,	0,	0,	1,	1,	1,	1,	271
1,	0,	1,	0,	0,	0,	1,	1,	0,	326
0,	1,	1,	1,	0,	1,	1,	1,	0,	238
0,	0,	1,	1,	0,	1,	1,	1,	1,	111
1,	1,	0,	0,	0,	0,	0,	0,	0,	384
0,	0,	0,	0,	1,	1,	1,	0,	1,	29
0,	0,	0,	0,	0,	0,	1,	0,	0,	4
0,	1,	1,	1,	1,	1,	0,	0,	0,	248
1,	0,	0,	0,	0,	1,	0,	1,	1,	267
1,	1,	0,	0,	1,	0,	1,	0,	0,	404
0,	1,	0,	0,	1,	0,	1,	1,	1,	151
0,	0,	0,	0,	0,	0,	1,	1,	0,	6
1,	1,	0,	1,	0,	0,	1,	0,	0,	420
1,	0,	1,	0,	0,	0,	0,	1,	1,	323
0,	0,	1,	1,	0,	1,	0,	1,	0,	106
1,	1,	0,	0,	0,	0,	0,	1,	0,	386
0,	0,	1,	1,	1,	1,	1,	1,	1,	127
1,	0,	1,	1,	1,	1,	1,	1,	1,	383
0,	1,	0,	1,	1,	0,	1,	1,	1,	183
0,	0,	0,	0,	1,	0,	1,	1,	1,	23
0,	0,	1,	1,	1,	1,	0,	1,	0,	122
1,	0,	1,	1,	0,	0,	1,	1,	1,	359
0,	0,	1,	1,	1,	0,	1,	1,	0,	118
1,	0,	1,	1,	0,	0,	0,	0,	1,	353
1,	1,	0,	1,	1,	0,	1,	0,	0,	436
1,	1,	1,	1,	1,	1,	0,	1,	1,	507
0,	1,	1,	1,	0,	0,	1,	0,	0,	228
1,	1,	0,	0,	1,	0,	0,	1,	0,	402
1,	0,	0,	0,	0,	0,	0,	0,	0,	256
1,	1,	0,	0,	1,	0,	0,	0,	0,	400
0,	1,	0,	1,	1,	1,	1,	0,	0,	188
1,	0,	1,	1,	1,	1,	1,	1,	0,	382
1,	1,	0,	1,	0,	1,	0,	0,	0,	424
0,	1,	1,	1,	1,	1,	0,	0,	1,	249
1,	0,	1,	0,	0,	1,	1,	0,	1,	333
1,	0,	0,	1,	0,	0,	1,	1,	0,	294
1,	0,	1,	1,	1,	0,	0,	0,	0,	368
0,	1,	1,	1,	0,	1,	1,	0,	0,	236
0,	0,	0,	0,	0,	0,	0,	0,	0,	0
0,	1,	0,	0,	0,	0,	0,	1,	1,	131
1,	1,	1,	1,	0,	1,	1,	0,	0,	492
0,	1,	0,	0,	0,	1,	0,	0,	1,	137
1,	1,	1,	1,	0,	1,	0,	0,	0,	488
1,	1,	1,	1,	0,	1,	1,	1,	0,	494
1,	0,	0,	1,	1,	0,	1,	1,	0,	310
0,	0,	1,	1,	0,	0,	1,	1,	0,	102
1,	1,	0,	0,	0,	1,	1,	1,	0,	398
1,	0,	0,	1,	1,	0,	1,	0,	1,	309
1,	1,	1,	0,	1,	1,	0,	1,	1,	475
0,	1,	0,	0,	1,	1,	0,	1,	1,	155
0,	0,	0,	1,	0,	0,	1,	1,	1,	39
1,	0,	0,	0,	0,	1,	1,	0,	0,	268
0,	0,	0,	0,	1,	1,	0,	0,	1,	25
0,	1,	0,	1,	0,	1,	1,	0,	1,	173
0,	0,	1,	1,	0,	1,	1,	1,	0,	110
0,	0,	0,	0,	1,	1,	1,	1,	1,	31
0,	0,	1,	0,	0,	0,	0,	0,	1,	65
0,	0,	0,	0,	0,	1,	0,	0,	1,	9
1,	0,	0,	0,	0,	0,	1,	1,	1,	263
1,	1,	0,	1,	1,	1,	1,	1,	0,	446
1,	1,	0,	1,	0,	0,	0,	0,	0,	416
1,	0,	0,	1,	1,	0,	0,	0,	0,	304
1,	1,	1,	0,	0,	1,	0,	0,	0,	456
0,	1,	0,	1,	1,	1,	1,	1,	0,	190
1,	0,	1,	0,	1,	1,	0,	0,	1,	345
0,	1,	1,	1,	1,	0,	0,	1,	1,	243
1,	1,	0,	1,	0,	0,	0,	1,	0,	418
1,	0,	1,	0,	0,	0,	0,	1,	0,	322
0,	0,	0,	0,	0,	0,	1,	0,	1,	5
1,	0,	1,	0,	1,	0,	0,	0,	0,	336
0,	1,	1,	0,	0,	1,	0,	0,	0,	200
1,	0,	0,	0,	0,	0,	0,	1,	0,	258
0,	0,	0,	1,	0,	0,	1,	0,	1,	37
0,	0,	0,	1,	0,	0,	0,	0,	0,	32
1,	0,	1,	1,	1,	0,	1,	1,	0,	374
0,	1,	1,	1,	1,	1,	1,	0,	0,	252
0,	0,	1,	1,	1,	0,	0,	1,	1,	115
0,	0,	0,	1,	0,	0,	0,	0,	1,	33
1,	1,	1,	0,	0,	1,	1,	0,	0,	460
0,	0,	1,	0,	1,	0,	1,	1,	1,	87
0,	0,	0,	1,	0,	0,	0,	1,	0,	34
1,	1,	1,	0,	1,	1,	0,	0,	0,	472
0,	0,	1,	1,	0,	0,	0,	1,	0,	98
1,	0,	1,	1,	1,	0,	1,	1,	1,	375
1,	0,	1,	1,	0,	0,	1,	0,	0,	356
1,	0,	0,	1,	0,	0,	0,	0,	0,	288
0,	1,	1,	0,	0,	1,	1,	0,	1,	205
0,	0,	0,	0,	1,	0,	0,	0,	0,	16
1,	1,	1,	0,	1,	1,	1,	0,	1,	477
0,	1,	1,	0,	0,	1,	1,	1,	1,	207
0,	1,	0,	1,	1,	0,	0,	1,	0,	178
1,	1,	1,	1,	1,	0,	1,	0,	0,	500
0,	1,	1,	0,	0,	0,	1,	1,	1,	199
1,	1,	0,	0,	0,	1,	1,	1,	1,	399
1,	1,	1,	0,	1,	1,	0,	0,	1,	473
1,	0,	0,	1,	1,	1,	0,	1,	1,	315
1,	1,	1,	0,	0,	0,	0,	0,	0,	448
0,	1,	0,	0,	0,	0,	1,	0,	1,	133
1,	1,	1,	1,	0,	0,	0,	0,	0,	480
0,	0,	0,	0,	0,	1,	1,	1,	1,	15
0,	1,	1,	1,	1,	0,	1,	1,	1,	247
1,	1,	0,	1,	1,	1,	1,	1,	1,	447
0,	1,	1,	0,	0,	0,	1,	0,	1,	197
0,	1,	0,	1,	1,	1,	0,	1,	1,	187
0,	1,	1,	0,	0,	0,	0,	0,	0,	192
1,	1,	1,	0,	0,	1,	0,	0,	1,	457
0,	0,	1,	0,	1,	1,	0,	0,	1,	89
1,	1,	0,	1,	1,	0,	1,	1,	0,	438
1,	0,	0,	0,	0,	0,	1,	0,	1,	261
0,	1,	1,	1,	1,	1,	1,	0,	1,	253
0,	1,	0,	1,	0,	1,	1,	0,	0,	172
1,	1,	0,	0,	0,	0,	1,	0,	0,	388
1,	1,	1,	0,	1,	0,	0,	0,	1,	465
0,	0,	0,	1,	0,	1,	0,	1,	1,	43
1,	0,	0,	1,	1,	0,	0,	1,	1,	307
0,	1,	1,	0,	0,	1,	0,	0,	1,	201
1,	1,	0,	1,	1,	0,	0,	1,	0,	434
0,	1,	1,	1,	1,	1,	1,	1,	1,	255
0,	0,	0,	0,	0,	1,	1,	0,	1,	13
0,	1,	0,	1,	1,	1,	1,	1,	1,	191
1,	0,	0,	1,	0,	0,	1,	0,	0,	292
0,	0,	1,	0,	0,	1,	1,	0,	1,	77
0,	1,	1,	1,	0,	0,	1,	1,	1,	231
1,	1,	0,	1,	1,	1,	0,	1,	0,	442
0,	0,	0,	1,	0,	1,	1,	1,	1,	47
1,	0,	1,	1,	1,	1,	1,	0,	1,	381
0,	0,	1,	0,	0,	1,	1,	0,	0,	76
1,	1,	1,	1,	0,	0,	0,	1,	0,	482
0,	1,	0,	0,	1,	0,	0,	1,	1,	147
0,	0,	1,	0,	0,	0,	0,	0,	0,	64
0,	0,	0,	0,	1,	0,	0,	1,	1,	19
1,	1,	1,	1,	1,	1,	1,	0,	0,	508
0,	1,	0,	0,	0,	0,	0,	0,	0,	128
1,	1,	1,	0,	1,	0,	1,	0,	0,	468
1,	1,	0,	0,	0,	1,	0,	0,	0,	392
1,	1,	0,	0,	1,	0,	0,	0,	1,	401
0,	0,	0,	1,	1,	0,	0,	1,	1,	51
0,	1,	0,	0,	0,	0,	1,	1,	1,	135
0,	0,	1,	1,	1,	1,	0,	0,	1,	121
1,	1,	0,	0,	1,	1,	0,	0,	0,	408
0,	0,	0,	1,	0,	1,	0,	0,	0,	40
1,	1,	0,	1,	1,	0,	0,	1,	1,	435
0,	1,	1,	0,	1,	1,	1,	0,	1,	221
1,	1,	1,	1,	0,	0,	1,	0,	0,	484
1,	0,	0,	0,	1,	0,	0,	0,	0,	272
1,	0,	1,	1,	1,	1,	0,	1,	0,	378
0,	0,	1,	1,	0,	1,	0,	1,	1,	107
1,	1,	0,	1,	1,	1,	0,	0,	0,	440
1,	1,	1,	1,	1,	1,	1,	0,	1,	509
0,	1,	0,	0,	0,	1,	1,	1,	1,	143
0,	0,	1,	0,	0,	0,	1,	0,	1,	69
0,	0,	0,	0,	0,	0,	0,	1,	0,	2
1,	0,	0,	0,	0,	0,	1,	0,	0,	260
1,	0,	1,	1,	0,	0,	1,	1,	0,	358
1,	0,	1,	1,	1,	0,	0,	1,	0,	370
1,	0,	0,	0,	1,	0,	1,	1,	1,	279
0,	1,	0,	1,	1,	0,	1,	1,	0,	182
1,	0,	1,	1,	1,	0,	0,	1,	1,	371
1,	0,	1,	0,	0,	1,	1,	0,	0,	332
1,	1,	1,	0,	0,	0,	1,	1,	1,	455
0,	0,	1,	1,	1,	0,	1,	1,	1,	119
1,	0,	1,	0,	0,	0,	1,	0,	1,	325
0,	0,	1,	0,	1,	1,	1,	0,	1,	93
0,	0,	0,	0,	0,	1,	1,	0,	0,	12
0,	1,	0,	1,	0,	1,	1,	1,	1,	175
1,	1,	0,	0,	0,	1,	1,	0,	1,	397
1,	1,	0,	1,	0,	1,	1,	0,	0,	428
1,	1,	1,	1,	1,	0,	0,	1,	1,	499
1,	0,	1,	1,	0,	1,	1,	0,	0,	364
0,	0,	0,	1,	0,	0,	0,	1,	1,	35
0,	0,	0,	0,	0,	1,	0,	0,	0,	8
1,	0,	0,	0,	1,	0,	1,	0,	0,	276
0,	0,	1,	0,	1,	0,	0,	1,	0,	82
0,	1,	1,	1,	0,	1,	1,	1,	1,	239
0,	1,	1,	0,	1,	1,	0,	1,	1,	219
1,	0,	0,	0,	0,	1,	0,	0,	1,	265
1,	0,	1,	0,	1,	1,	1,	1,	1,	351
1,	0,	1,	1,	0,	1,	1,	0,	1,	365
1,	1,	1,	1,	0,	1,	1,	1,	1,	495
1,	0,	0,	1,	0,	1,	0,	1,	0,	298
0,	0,	0,	0,	0,	0,	0,	1,	1,	3
0,	1,	1,	1,	1,	0,	1,	1,	0,	246
0,	1,	1,	1,	0,	1,	0,	1,	1,	235
0,	1,	1,	1,	1,	0,	1,	0,	0,	244
1,	0,	0,	1,	0,	0,	1,	1,	1,	295
0,	0,	0,	0,	1,	0,	1,	0,	1,	21
0,	1,	1,	0,	0,	0,	0,	1,	0,	194
0,	0,	1,	1,	1,	0,	0,	0,	1,	113
1,	0,	0,	1,	0,	1,	0,	0,	0,	296
1,	0,	0,	1,	0,	0,	0,	1,	0,	290
1,	1,	0,	1,	1,	0,	1,	1,	1,	439
1,	1,	1,	0,	0,	0,	1,	0,	0,	452
0,	1,	1,	0,	0,	1,	1,	1,	0,	206
0,	0,	0,	1,	1,	0,	0,	1,	0,	50
1,	1,	1,	0,	1,	0,	1,	1,	1,	471
0,	1,	1,	0,	1,	0,	1,	1,	1,	215
0,	0,	1,	1,	0,	1,	1,	0,	0,	108
1,	1,	1,	1,	1,	1,	1,	1,	0,	510
0,	0,	0,	1,	1,	0,	0,	0,	1,	49
0,	1,	0,	1,	1,	0,	0,	1,	1,	179
0,	0,	1,	1,	0,	0,	1,	1,	1,	103
1,	0,	0,	0,	0,	1,	0,	0,	0,	264
1,	0,	0,	1,	0,	0,	0,	0,	1,	289
0,	1,	0,	0,	1,	0,	0,	0,	0,	144
0,	0,	1,	0,	1,	1,	0,	1,	1,	91
0,	0,	0,	0,	1,	0,	1,	1,	0,	22
1,	0,	1,	0,	0,	0,	1,	1,	1,	327
1,	0,	0,	1,	0,	0,	1,	0,	1,	293
0,	1,	1,	0,	1,	1,	0,	1,	0,	218
1,	0,	1,	0,	0,	1,	1,	1,	0,	334
