@relation 'dec'
@attribute attr0 {0,1}
@attribute attr1 {0,1}
@attribute attr2 {0,1}
@attribute attr3 {0,1}
@attribute attr4 {0,1}
@attribute attr5 {0,1}
@attribute attr6 {0,1}
@attribute attr7 {0,1}
@attribute class {0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91, 92, 93, 94, 95, 96, 97, 98, 99, 100, 101, 102, 103, 104, 105, 106, 107, 108, 109, 110, 111, 112, 113, 114, 115, 116, 117, 118, 119, 120, 121, 122, 123, 124, 125, 126, 127, 128, 129, 130, 131, 132, 133, 134, 135, 136, 137, 138, 139, 140, 141, 142, 143, 144, 145, 146, 147, 148, 149, 150, 151, 152, 153, 154, 155, 156, 157, 158, 159, 160, 161, 162, 163, 164, 165, 166, 167, 168, 169, 170, 171, 172, 173, 174, 175, 176, 177, 178, 179, 180, 181, 182, 183, 184, 185, 186, 187, 188, 189, 190, 191, 192, 193, 194, 195, 196, 197, 198, 199, 200, 201, 202, 203, 204, 205, 206, 207, 208, 209, 210, 211, 212, 213, 214, 215, 216, 217, 218, 219, 220, 221, 222, 223, 224, 225, 226, 227, 228, 229, 230, 231, 232, 233, 234, 235, 236, 237, 238, 239, 240, 241, 242, 243, 244, 245, 246, 247, 248, 249, 250, 251, 252, 253, 254, 255}
@data
1,	1,	0,	1,	0,	0,	1,	1,	211
1,	0,	1,	0,	0,	1,	1,	0,	166
1,	0,	1,	1,	1,	0,	1,	0,	186
0,	0,	1,	1,	0,	0,	0,	0,	48
0,	0,	0,	0,	1,	1,	0,	1,	13
1,	1,	0,	0,	1,	1,	0,	1,	205
0,	0,	0,	1,	1,	0,	1,	1,	27
1,	1,	0,	0,	0,	1,	1,	1,	199
1,	1,	1,	0,	0,	0,	0,	1,	225
0,	0,	0,	1,	0,	0,	1,	1,	19
0,	0,	0,	1,	0,	1,	0,	0,	20
0,	1,	0,	0,	0,	1,	0,	0,	68
1,	1,	1,	0,	0,	0,	1,	0,	226
0,	0,	0,	1,	0,	0,	1,	0,	18
1,	1,	1,	0,	0,	1,	1,	1,	231
0,	0,	0,	1,	0,	1,	0,	1,	21
0,	1,	1,	1,	1,	0,	1,	0,	122
0,	0,	1,	0,	1,	1,	1,	0,	46
0,	0,	0,	0,	0,	1,	1,	1,	7
0,	0,	0,	1,	1,	1,	0,	0,	28
0,	0,	0,	1,	1,	1,	1,	0,	30
1,	0,	0,	0,	0,	0,	1,	0,	130
1,	1,	0,	0,	0,	0,	1,	0,	194
1,	1,	1,	0,	1,	0,	0,	1,	233
1,	0,	0,	1,	0,	1,	0,	0,	148
0,	1,	1,	1,	0,	1,	0,	1,	117
1,	1,	1,	1,	0,	1,	0,	0,	244
1,	1,	1,	1,	1,	0,	0,	0,	248
0,	0,	1,	1,	1,	0,	1,	0,	58
0,	0,	0,	0,	0,	1,	1,	0,	6
1,	1,	1,	0,	1,	0,	1,	1,	235
1,	0,	0,	0,	0,	0,	1,	1,	131
0,	1,	1,	1,	0,	1,	0,	0,	116
0,	1,	1,	0,	1,	0,	0,	0,	104
1,	1,	1,	1,	1,	1,	0,	0,	252
0,	0,	1,	1,	0,	1,	0,	0,	52
0,	1,	1,	0,	1,	1,	1,	0,	110
1,	0,	0,	0,	1,	1,	0,	1,	141
0,	0,	1,	0,	0,	1,	0,	0,	36
0,	1,	0,	1,	1,	0,	0,	0,	88
1,	0,	0,	1,	1,	1,	0,	1,	157
0,	1,	1,	0,	1,	0,	1,	0,	106
0,	0,	1,	1,	0,	1,	0,	1,	53
0,	1,	1,	1,	1,	0,	0,	0,	120
0,	0,	1,	0,	1,	0,	1,	0,	42
0,	0,	0,	1,	1,	0,	0,	0,	24
0,	1,	0,	1,	1,	0,	1,	0,	90
0,	0,	0,	1,	0,	1,	1,	0,	22
0,	1,	1,	1,	1,	1,	0,	1,	125
1,	0,	0,	1,	0,	1,	1,	0,	150
1,	1,	0,	1,	1,	1,	1,	0,	222
1,	0,	0,	0,	1,	0,	1,	0,	138
0,	1,	0,	0,	1,	0,	0,	1,	73
1,	0,	1,	1,	1,	0,	0,	1,	185
0,	1,	1,	1,	0,	0,	0,	0,	112
1,	0,	1,	0,	0,	0,	0,	1,	161
1,	1,	1,	1,	1,	1,	1,	0,	254
1,	1,	1,	1,	0,	0,	1,	0,	242
1,	0,	1,	1,	0,	0,	0,	0,	176
1,	1,	0,	0,	0,	0,	0,	0,	192
1,	0,	0,	0,	1,	1,	1,	1,	143
1,	1,	1,	1,	0,	1,	0,	1,	245
0,	0,	1,	1,	1,	1,	1,	0,	62
1,	1,	1,	0,	0,	1,	0,	1,	229
0,	0,	0,	1,	0,	1,	1,	1,	23
0,	0,	1,	1,	1,	1,	1,	1,	63
0,	1,	0,	0,	1,	1,	1,	1,	79
0,	0,	1,	1,	1,	0,	1,	1,	59
0,	1,	0,	0,	0,	0,	0,	1,	65
1,	1,	0,	0,	1,	1,	1,	1,	207
0,	0,	1,	0,	1,	1,	0,	0,	44
1,	1,	1,	1,	0,	0,	0,	0,	240
1,	1,	0,	0,	1,	0,	1,	0,	202
1,	0,	0,	0,	0,	0,	0,	1,	129
0,	1,	0,	1,	0,	0,	0,	1,	81
1,	0,	1,	1,	0,	1,	0,	0,	180
0,	0,	1,	0,	0,	1,	1,	1,	39
0,	1,	0,	0,	0,	0,	0,	0,	64
1,	1,	0,	1,	0,	1,	1,	0,	214
1,	0,	0,	0,	1,	0,	0,	0,	136
0,	0,	0,	0,	1,	0,	1,	1,	11
0,	1,	1,	0,	1,	1,	0,	1,	109
1,	1,	0,	0,	1,	0,	1,	1,	203
0,	0,	0,	0,	1,	1,	1,	1,	15
1,	1,	0,	1,	0,	0,	0,	1,	209
1,	1,	0,	1,	1,	0,	1,	0,	218
0,	1,	0,	1,	1,	1,	1,	1,	95
0,	1,	1,	0,	1,	0,	1,	1,	107
0,	1,	0,	1,	1,	1,	0,	0,	92
0,	1,	0,	0,	1,	0,	0,	0,	72
1,	1,	1,	0,	1,	0,	0,	0,	232
0,	0,	0,	0,	0,	0,	0,	1,	1
1,	1,	0,	1,	0,	0,	0,	0,	208
0,	0,	0,	0,	1,	0,	0,	1,	9
1,	1,	1,	1,	0,	1,	1,	1,	247
0,	0,	0,	0,	0,	0,	1,	0,	2
1,	0,	0,	0,	0,	0,	0,	0,	128
0,	1,	0,	1,	0,	1,	1,	1,	87
0,	0,	1,	1,	0,	0,	1,	0,	50
0,	1,	0,	1,	0,	0,	0,	0,	80
1,	1,	1,	1,	1,	0,	0,	1,	249
1,	0,	1,	0,	1,	1,	0,	0,	172
0,	1,	1,	1,	1,	1,	1,	1,	127
0,	1,	1,	0,	0,	0,	0,	0,	96
0,	0,	1,	0,	1,	0,	1,	1,	43
0,	0,	0,	1,	1,	1,	1,	1,	31
1,	1,	0,	0,	0,	1,	1,	0,	198
1,	1,	1,	0,	1,	1,	1,	1,	239
1,	0,	1,	0,	0,	1,	1,	1,	167
0,	0,	1,	1,	1,	1,	0,	1,	61
0,	1,	0,	0,	0,	0,	1,	0,	66
0,	0,	0,	0,	0,	1,	0,	0,	4
1,	1,	0,	0,	1,	1,	1,	0,	206
1,	1,	1,	0,	0,	0,	0,	0,	224
0,	0,	1,	0,	1,	1,	1,	1,	47
1,	0,	1,	0,	0,	1,	0,	1,	165
0,	0,	1,	1,	1,	1,	0,	0,	60
0,	1,	1,	1,	1,	0,	1,	1,	123
1,	1,	1,	1,	1,	0,	1,	0,	250
1,	0,	0,	1,	0,	0,	0,	0,	144
0,	1,	0,	1,	1,	1,	1,	0,	94
0,	1,	1,	0,	1,	1,	1,	1,	111
0,	1,	0,	0,	1,	0,	1,	1,	75
0,	0,	0,	1,	0,	0,	0,	0,	16
1,	1,	1,	1,	1,	0,	1,	1,	251
1,	0,	0,	1,	1,	0,	0,	1,	153
1,	0,	0,	1,	1,	1,	1,	1,	159
1,	0,	0,	0,	0,	1,	0,	1,	133
1,	1,	0,	0,	0,	0,	0,	1,	193
0,	0,	1,	0,	0,	1,	1,	0,	38
1,	0,	0,	0,	0,	1,	0,	0,	132
1,	0,	1,	1,	1,	1,	1,	1,	191
1,	0,	1,	0,	0,	0,	0,	0,	160
1,	0,	0,	0,	1,	0,	0,	1,	137
0,	0,	1,	1,	0,	1,	1,	0,	54
0,	0,	1,	1,	0,	1,	1,	1,	55
1,	1,	0,	1,	1,	1,	1,	1,	223
0,	0,	0,	0,	1,	0,	0,	0,	8
1,	1,	1,	1,	1,	1,	0,	1,	253
1,	0,	0,	0,	0,	1,	1,	0,	134
0,	1,	0,	0,	0,	1,	0,	1,	69
1,	1,	0,	0,	1,	0,	0,	1,	201
1,	0,	0,	0,	1,	1,	0,	0,	140
0,	0,	0,	0,	1,	1,	1,	0,	14
0,	1,	0,	0,	1,	1,	0,	1,	77
1,	0,	1,	1,	0,	0,	1,	1,	179
1,	0,	0,	1,	0,	0,	1,	0,	146
0,	1,	1,	0,	0,	1,	0,	0,	100
0,	1,	1,	0,	0,	1,	1,	0,	102
1,	1,	0,	1,	1,	0,	1,	1,	219
1,	0,	0,	0,	0,	1,	1,	1,	135
0,	0,	0,	0,	0,	1,	0,	1,	5
1,	0,	1,	1,	0,	0,	1,	0,	178
1,	0,	1,	0,	1,	0,	0,	0,	168
1,	1,	1,	1,	0,	1,	1,	0,	246
0,	0,	1,	0,	0,	0,	1,	0,	34
0,	0,	1,	0,	0,	0,	0,	0,	32
0,	1,	1,	0,	1,	1,	0,	0,	108
1,	1,	1,	0,	0,	1,	0,	0,	228
1,	0,	0,	1,	0,	0,	0,	1,	145
0,	0,	1,	0,	1,	0,	0,	0,	40
0,	1,	1,	1,	0,	1,	1,	1,	119
1,	1,	0,	1,	0,	0,	1,	0,	210
0,	0,	0,	0,	1,	1,	0,	0,	12
1,	1,	1,	0,	1,	1,	0,	1,	237
1,	0,	0,	0,	1,	0,	1,	1,	139
0,	1,	0,	1,	1,	0,	0,	1,	89
1,	1,	0,	1,	1,	0,	0,	1,	217
0,	0,	0,	0,	0,	0,	0,	0,	0
1,	0,	1,	0,	1,	0,	1,	1,	171
1,	0,	1,	0,	1,	1,	1,	1,	175
1,	0,	1,	1,	1,	1,	1,	0,	190
1,	0,	0,	0,	1,	1,	1,	0,	142
1,	0,	0,	1,	0,	1,	0,	1,	149
1,	0,	1,	0,	0,	1,	0,	0,	164
1,	0,	1,	0,	1,	0,	1,	0,	170
1,	0,	1,	1,	1,	0,	1,	1,	187
1,	1,	0,	0,	0,	1,	0,	0,	196
1,	1,	0,	1,	0,	1,	1,	1,	215
0,	1,	1,	1,	0,	0,	1,	1,	115
1,	0,	0,	1,	1,	0,	0,	0,	152
0,	0,	0,	0,	1,	0,	1,	0,	10
0,	1,	1,	1,	0,	0,	0,	1,	113
0,	0,	0,	0,	0,	0,	1,	1,	3
1,	0,	0,	1,	0,	1,	1,	1,	151
1,	0,	1,	0,	1,	1,	1,	0,	174
0,	1,	0,	1,	0,	0,	1,	1,	83
1,	0,	1,	1,	0,	1,	1,	0,	182
1,	1,	0,	1,	0,	1,	0,	1,	213
0,	1,	1,	0,	0,	1,	0,	1,	101
0,	1,	0,	0,	1,	0,	1,	0,	74
0,	1,	1,	0,	0,	1,	1,	1,	103
0,	0,	0,	1,	1,	0,	0,	1,	25
0,	1,	0,	1,	1,	1,	0,	1,	93
0,	1,	1,	0,	1,	0,	0,	1,	105
1,	0,	1,	0,	0,	0,	1,	0,	162
0,	1,	1,	1,	0,	1,	1,	0,	118
1,	1,	1,	0,	0,	1,	1,	0,	230
0,	0,	1,	1,	0,	0,	0,	1,	49
1,	0,	1,	1,	0,	1,	0,	1,	181
1,	1,	0,	1,	1,	1,	0,	0,	220
0,	0,	1,	0,	0,	0,	1,	1,	35
1,	0,	1,	1,	1,	0,	0,	0,	184
0,	1,	0,	0,	0,	1,	1,	1,	71
0,	0,	1,	0,	1,	1,	0,	1,	45
1,	0,	1,	0,	0,	0,	1,	1,	163
1,	0,	0,	1,	1,	0,	1,	0,	154
0,	1,	0,	1,	0,	1,	0,	1,	85
1,	0,	1,	0,	1,	0,	0,	1,	169
0,	1,	0,	1,	0,	1,	1,	0,	86
1,	1,	1,	0,	0,	0,	1,	1,	227
