@relation Glass-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0-weka.filters.unsupervised.attribute.MathExpression-EA*100

@attribute RI numeric
@attribute Na numeric
@attribute Mg numeric
@attribute Al numeric
@attribute Si numeric
@attribute K numeric
@attribute Ca numeric
@attribute Ba numeric
@attribute Fe numeric
@attribute Type {'build wind float','build wind non-float','vehic wind float','vehic wind non-float',containers,tableware,headlamps}

@data
29.938543,30.225564,77.505568,33.021807,56.25,10.305958,30.204461,0,0,'build wind float'
30.333626,34.135338,84.632517,24.610592,58.214286,9.017713,27.416357,0,23.529412,'build wind non-float'
22.475856,34.135338,79.732739,38.94081,53.928571,9.822866,24.256506,0,0,'build wind non-float'
20.851624,37.744361,74.387528,36.760125,58.75,6.280193,25.929368,0,0,'build wind non-float'
35.95259,43.759398,78.841871,14.330218,50.714286,2.57649,32.156134,4.761905,47.058824,'vehic wind float'
28.09482,29.774436,76.169265,28.34891,60.535714,9.500805,29.832714,0,0,'build wind float'
17.515364,49.323308,59.688196,100,1.428571,27.05314,4.089219,69.84127,0,containers
28.5777,37.293233,82.182628,31.152648,50,9.178744,25.929368,0,0,'build wind float'
29.367867,35.338346,77.728285,30.841121,54.464286,9.661836,28.438662,0,0,'build wind float'
46.619842,37.142857,81.959911,26.791277,52.5,8.695652,28.717472,0,0,'build wind non-float'
28.007024,27.669173,77.282851,33.956386,63.928571,9.661836,28.996283,0,11.764706,'build wind float'
32.309043,37.142857,80.846325,24.299065,53.928571,9.178744,27.695167,2.857143,33.333333,'build wind non-float'
27.568042,38.646617,80.178174,26.479751,58.571429,9.339775,25.464684,0,0,'build wind float'
20.983319,35.488722,79.955457,38.317757,58.75,10.78905,22.304833,0,0,'build wind non-float'
23.046532,54.736842,0,76.323988,54.285714,0,37.360595,17.142857,0,headlamps
27.216857,34.43609,78.841871,43.613707,52.142857,8.695652,27.973978,0,13.72549,'build wind float'
49.692713,62.105263,48.997773,55.140187,8.035714,12.238325,40.241636,0,0,headlamps
43.195786,44.511278,79.955457,25.856698,38.392857,1.449275,36.895911,0,0,'build wind float'
28.709394,43.909774,81.514477,25.545171,52.857143,1.771337,29.460967,0,0,'vehic wind float'
32.089552,40.300752,86.636971,32.398754,45.892857,8.21256,26.486989,0,0,'build wind non-float'
32.177349,43.759398,86.191537,30.529595,38.392857,8.695652,26.858736,0,62.745098,'build wind non-float'
34.679543,43.157895,80.623608,25.545171,50.535714,2.254428,30.947955,0,0,'build wind float'
19.841967,38.496241,76.837416,28.660436,52.321429,9.017713,29.182156,0,0,'build wind float'
48.200176,52.330827,85.077951,5.607477,35,1.771337,38.475836,0,0,'build wind float'
52.897278,44.962406,82.85078,6.853583,34.642857,1.449275,43.02974,0,31.372549,'build wind float'
19.359087,47.218045,0,70.093458,61.071429,2.254428,36.988848,25.714286,1.960784,headlamps
35.601405,37.142857,74.164811,30.841121,45.535714,9.661836,34.479554,0,21.568627,'build wind float'
48.112379,52.030075,84.187082,19.314642,27.678571,3.703704,34.479554,0,72.54902,'vehic wind float'
88.235294,0,0,56.386293,0,9.339775,73.141264,100,54.901961,'build wind non-float'
45.522388,34.887218,81.291759,18.068536,44.821429,3.059581,41.078067,0,33.333333,'build wind float'
31.343284,56.090226,49.888641,41.433022,45.892857,0,35.594796,0,0,tableware
34.108867,41.052632,85.300668,30.218069,48.928571,9.178744,25.836431,0,27.45098,'build wind non-float'
33.933275,64.06015,17.371938,45.17134,48.035714,0,42.007435,0,0,tableware
31.343284,37.744361,86.859688,34.890966,45,8.856683,26.765799,0,19.607843,'build wind non-float'
52.019315,38.796992,79.732739,16.510903,38.928571,1.932367,44.052045,0,5.882353,'build wind float'
23.57331,42.556391,79.510022,36.760125,47.142857,10.305958,23.513011,0,0,'build wind non-float'
28.665496,27.518797,78.396437,35.514019,59.642857,9.178744,28.903346,0,0,'build wind float'
4.389816,33.984962,77.282851,25.856698,56.607143,9.983897,27.137546,0,60.784314,'build wind float'
23.309921,34.736842,75.723831,30.218069,57.142857,8.373591,29.275093,0,0,'vehic wind float'
26.602283,32.180451,77.505568,32.398754,57.678571,9.017713,27.881041,0,0,'build wind float'
28.446005,31.12782,81.514477,30.529595,57.142857,9.661836,29.089219,0,0,'build wind float'
27.524144,38.195489,80.623608,29.595016,58.392857,8.856683,24.535316,0,0,'build wind float'
44.424934,53.984962,86.859688,16.82243,30.178571,0,37.732342,0,0,'vehic wind float'
29.148376,37.293233,75.501114,32.398754,52.678571,9.500805,29.36803,0,0,'build wind float'
46.356453,12.481203,41.870824,39.563863,54.464286,7.568438,55.576208,0,0,containers
30.070237,44.81203,87.52784,38.94081,35.714286,8.695652,25.836431,0,29.411765,'build wind non-float'
72.958736,28.721805,0,11.838006,39.464286,0.966184,83.364312,0,0,'build wind non-float'
27.875329,31.428571,79.064588,37.383178,52.5,8.695652,28.717472,0,37.254902,'build wind float'
28.489903,33.834586,78.841871,28.660436,56.964286,10.466989,28.810409,0,0,'build wind float'
46.619842,45.413534,22.494432,33.333333,42.5,5.31401,53.066914,0,0,'build wind non-float'
23.266023,63.308271,0,49.221184,58.928571,0,30.111524,43.809524,0,headlamps
29.455663,30.075188,76.391982,28.037383,56.071429,9.983897,30.947955,0,58.823529,'build wind float'
45.522388,35.93985,79.732739,19.003115,42.678571,3.703704,40.799257,0,31.372549,'build wind float'
36.084284,46.015038,53.674833,28.037383,52.678571,0,40.334572,0,0,tableware
17.515364,61.954887,0,66.35514,69.821429,0,27.509294,17.777778,0,headlamps
46.400351,41.353383,83.296214,19.003115,39.285714,2.898551,38.847584,0,13.72549,'build wind float'
27.085162,63.458647,0,47.040498,56.785714,0,29.553903,49.206349,0,headlamps
39.727831,48.87218,30.066815,41.744548,34.821429,6.280193,47.67658,0,35.294118,'build wind non-float'
21.510097,32.631579,76.614699,36.137072,58.035714,7.085346,26.394052,0,0,'build wind non-float'
32.13345,35.639098,88.418708,28.037383,46.964286,9.661836,27.881041,0,0,'build wind non-float'
28.358209,47.518797,80.178174,33.333333,52.142857,7.729469,22.304833,0,0,'build wind float'
24.495171,38.646617,81.069042,38.629283,48.571429,10.466989,24.163569,0,56.862745,'build wind non-float'
54.872695,76.090226,40.757238,31.775701,11.071429,4.991948,29.553903,53.333333,0,headlamps
25.021949,63.007519,0,52.959502,58.035714,0,27.60223,50.47619,0,headlamps
23.836699,61.203008,0,52.959502,58.928571,0,26.486989,54.285714,0,headlamps
8.823529,34.43609,0,85.669782,11.964286,100,14.219331,0,0,containers
26.075505,34.135338,77.282851,46.728972,51.964286,10.628019,25.557621,0,0,'build wind non-float'
26.865672,59.699248,0,63.862928,61.964286,0,32.713755,20.952381,0,headlamps
34.372256,42.857143,74.610245,29.283489,40.535714,9.500805,32.342007,0,0,'build wind float'
37.489025,28.721805,0,42.367601,70.357143,6.119163,56.69145,0,0,containers
30.9482,28.421053,61.469933,16.82243,71.428571,5.636071,37.081784,0,39.215686,'build wind non-float'
22.036874,63.458647,0,61.682243,62.321429,0,30.483271,21.269841,0,headlamps
34.942932,47.669173,83.073497,27.725857,41.25,0.966184,32.156134,0,0,'build wind float'
23.529412,54.887218,0,51.401869,67.857143,0,28.345725,49.84127,0,headlamps
25.417032,32.030075,79.732739,31.775701,50,9.822866,31.226766,0,0,'vehic wind float'
52.677788,40.75188,74.387528,29.283489,45.892857,9.661836,31.598513,0,0,headlamps
41.834943,42.406015,46.547884,42.990654,42.321429,8.534622,38.475836,8.571429,33.333333,'build wind non-float'
31.738367,53.984962,72.605791,60.124611,25.714286,23.510467,3.345725,51.746032,0,headlamps
30.860404,44.962406,0,8.411215,82.857143,0,51.672862,0,0,'build wind non-float'
28.709394,25.864662,60.356347,31.152648,69.464286,9.017713,33.736059,0,47.058824,'build wind float'
23.924495,33.984962,70.824053,29.283489,56.428571,9.339775,31.412639,0,47.058824,'build wind non-float'
20.807726,32.330827,76.391982,34.579439,61.964286,11.111111,24.349442,0,47.058824,'build wind float'
56.848112,46.616541,64.587973,27.41433,23.928571,1.288245,49.814126,0,0,'build wind non-float'
70.676032,46.165414,70.155902,11.52648,13.571429,1.288245,57.713755,0,0,'build wind non-float'
44.073749,33.684211,7.349666,38.006231,63.928571,2.093398,54.275093,0,54.901961,containers
27.787533,32.030075,79.287305,30.529595,60.714286,8.695652,27.416357,0,33.333333,'build wind float'
23.617208,18.345865,0,28.037383,95.892857,43.478261,32.527881,0,0,headlamps
22.300263,51.278195,0,80.685358,50,1.288245,34.851301,33.650794,0,headlamps
43.283582,43.759398,100,25.233645,35.178571,0.966184,30.855019,0,0,'build wind float'
28.446005,28.270677,79.955457,31.775701,62.142857,9.339775,28.531599,0,0,'build wind float'
21.115013,34.43609,79.287305,38.94081,58.928571,11.594203,22.95539,0,0,'build wind non-float'
24.539069,30.977444,78.396437,38.94081,63.392857,10.628019,22.95539,0,0,'build wind non-float'
41.703248,54.586466,0,53.894081,64.464286,0,27.973978,52.063492,0,headlamps
28.665496,28.87218,79.287305,31.464174,58.392857,9.822866,30.297398,0,27.45098,'build wind float'
55.048288,40.75188,0,40.186916,43.035714,5.152979,63.289963,0,0,containers
28.138718,36.390977,80.400891,23.676012,61.25,9.178744,26.115242,0,0,'build wind float'
28.050922,41.353383,83.296214,27.41433,56.785714,9.500805,24.163569,0,0,'build wind float'
26.163301,32.481203,80.623608,39.875389,56.25,9.822866,24.907063,0,0,'build wind non-float'
48.068481,45.112782,85.523385,13.395639,34.821429,2.73752,40.055762,0,0,'build wind float'
21.027217,35.488722,78.396437,39.252336,54.642857,10.950081,24.349442,0,17.647059,'build wind non-float'
29.367867,29.323308,81.737194,27.102804,58.928571,9.822866,30.390335,0,0,'build wind float'
34.855136,47.518797,78.619154,32.087227,35.714286,8.21256,31.133829,3.492063,0,'build wind float'
37.840211,46.315789,79.732739,32.087227,34.107143,1.932367,30.111524,21.904762,0,'build wind float'
24.187884,32.030075,0,47.975078,72.678571,15.619968,44.052045,0,0,containers
22.651449,39.24812,79.510022,39.875389,54.642857,9.822866,22.862454,0,0,'build wind non-float'
33.230904,33.082707,81.514477,39.563863,48.214286,9.339775,28.996283,0,23.529412,'build wind non-float'
26.031607,44.962406,81.959911,47.352025,40.178571,10.305958,22.769517,0,0,'build wind non-float'
42.405619,45.864662,50.77951,35.514019,38.928571,7.890499,41.078067,0,33.333333,'build wind non-float'
20.149254,62.105263,81.737194,45.17134,36.785714,2.57649,17.936803,0,23.529412,'build wind non-float'
30.640913,40.601504,88.641425,27.725857,47.857143,9.339775,25.27881,0,0,'build wind non-float'
0.702371,44.511278,71.269488,47.352025,53.571429,28.341385,0,37.777778,0,headlamps
48.81475,51.729323,84.855234,15.264798,27.5,0,39.591078,0,0,'build wind float'
65.803336,44.661654,0,33.333333,25.535714,3.059581,74.442379,0,19.607843,'build wind non-float'
30.553117,39.097744,85.746102,29.906542,53.035714,8.373591,25,0,0,'build wind non-float'
23.705004,40.300752,75.501114,30.841121,50.535714,8.373591,29.925651,0,0,'vehic wind float'
27.919227,31.278195,79.510022,33.021807,57.321429,9.983897,29.36803,0,0,'build wind float'
17.251975,66.466165,0,61.05919,65.892857,0,27.04461,20,0,headlamps
35.118525,30.075188,41.202673,48.909657,51.428571,9.661836,43.30855,0,0,containers
37.357331,60.75188,83.518931,0,39.464286,0.483092,33.178439,0,0,'build wind float'
32.001756,37.894737,83.741648,32.087227,46.25,9.339775,27.788104,0,0,'build wind non-float'
67.998244,7.518797,0,14.953271,60.714286,0,85.966543,0,0,'build wind non-float'
46.400351,41.804511,85.96882,18.380062,35.357143,3.703704,38.197026,0,21.568627,'build wind float'
21.378402,61.954887,0,65.109034,61.964286,0,30.947955,20.31746,17.647059,headlamps
9.04302,34.135338,0,85.046729,15.892857,100,13.94052,0,0,containers
71.290606,4.360902,0,14.330218,58.392857,0,88.568773,0,0,'build wind non-float'
48.200176,52.330827,85.077951,5.607477,35,1.771337,38.475836,0,0,'build wind float'
27.743635,31.729323,77.951002,26.479751,61.785714,9.017713,28.996283,0,0,'build wind float'
31.782265,31.879699,81.737194,29.595016,49.285714,9.983897,30.204461,0,68.627451,'build wind non-float'
23.309921,40.300752,79.064588,29.906542,53.571429,10.950081,24.814126,0,0,'build wind non-float'
21.685689,64.360902,0,69.158879,57.857143,0.805153,31.598513,16.825397,0,headlamps
24.231782,33.233083,80.400891,30.218069,52.5,9.017713,29.460967,0,0,'build wind non-float'
20.763828,35.93985,75.946548,40.186916,61.607143,1.127214,27.509294,0,37.254902,'build wind non-float'
68.129939,49.022556,82.405345,13.084112,31.428571,0.322061,40.799257,0,19.607843,'build wind float'
31.43108,55.037594,0,47.663551,54.464286,22.705314,9.665428,91.428571,0,headlamps
35.250219,49.774436,79.732739,33.64486,40.535714,9.017713,26.672862,0,0,'build wind float'
21.861282,47.368421,39.643653,46.728972,58.75,0,30.111524,24.126984,0,headlamps
47.453907,54.586466,85.746102,18.691589,27.678571,2.415459,34.572491,0,0,'build wind float'
31.123793,32.180451,77.505568,31.152648,56.071429,9.661836,27.881041,0,0,'build wind float'
45.47849,4.511278,38.084633,39.563863,64.821429,9.339775,57.527881,0,0,containers
37.489025,57.593985,0,8.411215,65.535714,0,53.810409,0,0,tableware
22.080773,34.285714,77.951002,37.071651,55,9.661836,25,0,0,'build wind non-float'
23.266023,40.150376,77.728285,38.317757,50.714286,10.78905,24.628253,0,19.607843,'build wind non-float'
29.894644,41.654135,74.832962,41.744548,38.035714,9.178744,31.412639,0,17.647059,'vehic wind float'
48.595259,55.639098,0,22.11838,51.071429,1.610306,56.598513,0,15.686275,'build wind non-float'
29.323968,29.473684,78.841871,32.71028,56.071429,9.178744,30.855019,0,0,'build wind float'
26.163301,52.631579,0,55.76324,63.392857,0,29.64684,53.015873,0,headlamps
27.260755,30.827068,80.623608,31.152648,53.214286,9.500805,30.390335,0,0,'build wind float'
30.421422,40.601504,63.919822,28.037383,54.107143,8.856683,33.457249,0,0,'build wind float'
24.363477,37.744361,79.510022,33.956386,51.607143,9.017713,27.973978,0,19.607843,'vehic wind float'
40.737489,39.849624,0,34.579439,43.571429,5.31401,65.70632,0,0,containers
34.460053,41.503759,77.505568,33.021807,38.214286,8.856683,33.178439,0,0,'build wind float'
29.104478,37.293233,62.583519,31.152648,56.607143,8.21256,33.364312,0,17.647059,'build wind float'
34.679543,49.172932,53.229399,39.563863,45.714286,0,38.475836,0,0,tableware
18.261633,54.887218,0,73.831776,58.75,0.644122,33.921933,20.31746,0,headlamps
35.162423,51.428571,0,56.074766,52.321429,0,50.650558,0,0,tableware
31.870061,34.43609,80.623608,23.987539,45.178571,10.305958,34.386617,0,29.411765,'build wind non-float'
20.851624,34.43609,79.732739,38.006231,59.107143,11.111111,23.513011,0,0,'build wind non-float'
20.983319,37.894737,76.837416,35.514019,60,9.822866,22.583643,0,0,'build wind non-float'
23.046532,27.368421,77.505568,49.221184,61.071429,10.144928,24.628253,0,17.647059,'build wind non-float'
24.05619,33.082707,78.841871,41.433022,56.25,10.305958,24.163569,0,41.176471,'build wind non-float'
25.24144,39.097744,78.841871,41.121495,48.75,10.950081,24.907063,0,0,'build wind non-float'
33.09921,36.992481,75.055679,27.725857,51.964286,9.178744,31.598513,0,31.372549,'build wind float'
29.016681,42.105263,75.946548,38.317757,39.821429,9.339775,31.226766,0,0,'vehic wind float'
28.972783,31.879699,77.505568,29.283489,56.428571,9.822866,29.089219,2.857143,43.137255,'build wind float'
32.704126,39.548872,76.391982,35.514019,43.75,8.21256,29.460967,0,0,'build wind non-float'
26.558385,39.849624,77.951002,26.791277,54.285714,8.05153,27.881041,0,0,'build wind float'
22.300263,52.180451,0,77.88162,65.178571,0.644122,33.550186,12.698413,17.647059,headlamps
22.080773,42.105263,79.064588,38.94081,56.785714,6.280193,21.840149,0,0,'build wind float'
28.358209,31.278195,78.841871,29.283489,61.25,9.339775,27.509294,0,0,'build wind float'
21.729587,40.451128,75.723831,28.971963,51.428571,9.500805,26.858736,0,0,'vehic wind float'
20.939421,32.030075,78.396437,57.009346,50.892857,11.111111,23.605948,0,0,'build wind non-float'
21.861282,47.969925,78.396437,29.906542,54.821429,5.958132,23.327138,0,27.45098,'build wind non-float'
25.197542,29.172932,64.142539,44.23676,60.714286,11.755233,28.903346,0,0,'build wind non-float'
32.352941,50.526316,48.775056,42.679128,51.071429,0,36.152416,0,0,tableware
